job_title,company_name,location,ctc,experience,posted
Business Development Manager,Planet Spark,Gurgaon,"₹ 3,00,000 - 7,00,000",0-5 years,3 weeks ago
Trainee - SCM,Raj Petro Specialities Private Limited,"Manali, Chennai, Silvassa, Mumbai","₹ 2,00,000 - 2,80,000",0-2 years,3 weeks ago
Admission Support Officer,Aakash Educational Services Limited,"Delhi, Noida","₹ 3,00,000 - 4,50,000",0-2 years,3 weeks ago
Business Development (Sales) Executive,Planet Spark,Gurgaon,"₹ 3,00,000 - 7,00,000",0-5 years,3 weeks ago
Customer Support Associate,PolicyBazaar.com,Mumbai,"₹ 2,00,000 - 2,10,000",0-2 years,3 weeks ago
Business Development Associate,Bhanzu (Formerly Exploring Infinities),Bangalore,"₹ 2,00,000 - 3,00,000",0-2 years,3 weeks ago
UK Healthcare Recruiter,IMS Group,Ahmedabad,"₹ 2,50,000 - 3,50,000",0-2 years,3 weeks ago
Creative Designer,Hello Parent,Work from home,"₹ 2,00,000 - 3,00,000",0-2 years,3 weeks ago
Business Development Executive,BYJU'S The Learning App,"Gujarat, Delhi, Noida, Rajasthan","₹ 2,10,000 - 2,70,000",0-2 years,3 weeks ago
Business Development Executive,GBH Auto Mechanics & Services LLP,Kolkata,"₹ 3,00,000",0-2 years,3 weeks ago
Business Development Associate,GBH Auto Mechanics And Services LLP,Work from home,"₹ 5,00,000 - 12,00,000",0-5 years,3 weeks ago
Business Development Executive,GBH Auto Mechanics & Services LLP,Work from home,"₹ 4,80,000 - 6,00,000",0-5 years,3 weeks ago
Business Development Manager,Decathlon Sport India Private Limited,Mumbai,"₹ 3,00,000 - 3,36,000",0-2 years,3 weeks ago
Billing & Collections Analyst (Accountant),Enfusion,Mumbai,"₹ 3,00,000 - 4,00,000",0-2 years,3 weeks ago
Business Development Specialist,Planet Spark,Gurgaon,"₹ 3,00,000 - 7,00,000",0-5 years,3 weeks ago
Animator,Saregama India Limited,Mumbai,"₹ 2,00,000 - 2,16,000",0-2 years,3 weeks ago
Facebook Marketing Executive,Saregama India Limited,Mumbai,"₹ 2,00,000 - 2,40,000",0-2 years,3 weeks ago
Team Leader,Bajaj Allianz Life Insurance,Kolkata,"₹ 2,00,000 - 3,00,000",0-2 years,3 weeks ago
Business Development Executive,NoBroker Technologies Solutions Private Limited,Bangalore,"₹ 2,50,000 - 4,80,000",0-2 years,3 weeks ago
SME: Physics,Straive,Work from home,"₹ 3,00,000",0-2 years,3 weeks ago
SME: Statistics,Straive,Work from home,"₹ 3,00,000",0-2 years,3 weeks ago
SME: Mathematics,Straive,Work from home,"₹ 3,00,000",0-2 years,3 weeks ago
SME: Chemistry,Straive,Work from home,"₹ 3,00,000",0-2 years,3 weeks ago
Senior Social Media Marketing Manager,Valkyre Clothing,Mumbai,"₹ 2,50,000 - 3,50,000",1-3 years,"Just now


Be an early applicant"
Graphic Designer,Marcamor Consulting,Hyderabad,"₹ 3,50,000 - 5,00,000",1-3 years,"Just now


Be an early applicant"
Academic Counselor - Inside Sales,DataTrained Education Private Limited,"Noida, Greater Noida, Faridabad, Delhi, Ghaziabad","₹ 2,50,000 - 5,00,000",0-2 years,"Just now


Be an early applicant"
Sales Executive,Gainers Realtors LLP,Gurgaon,"₹ 2,00,000 - 4,20,000",0-5 years,"Just now


Be an early applicant"
STEM Trainer,Robokidz Eduventures Private Limited,"Pune, Jodhpur, Jaipur, Udaipur, Shillong","₹ 2,40,000 - 3,00,000",0-2 years,"Just now


Be an early applicant"
Business Development (Sales) Associate,Bosscoder Academy,Work from home,"₹ 3,00,000 - 6,00,000",0-2 years,"Just now


Be an early applicant"
Mobile Application Developer - React Native,Guruji Astro,Jaipur,"₹ 5,00,000 - 8,00,000",3-5 years,"Few hours ago


Be an early applicant"
Senior Front End Developer,Guruji Astro,Jaipur,"₹ 5,00,000 - 8,00,000",3-5 years,"Few hours ago


Be an early applicant"
Customer Care Executive - Remote,IIDE Education Private Limited,Work from home,"₹ 3,00,000 - 5,00,000",1-5 years,Few hours ago
Digital Marketing Associate - Remote,IIDE Education Private Limited,Work from home,"₹ 4,00,000 - 6,00,000",1-4 years,Few hours ago
Performance Marketing Associate,IIDE Education Private Limited,Work from home,"₹ 5,00,000 - 7,00,000",2-4 years,"Few hours ago


Be an early applicant"
Junior Search Engine Optimization (SEO) Executive,Comit Solution,Work from home,"₹ 2,00,000 - 3,00,000",1-2 years,"Few hours ago


Be an early applicant"
Product Marketing Associate,IIDE Education Private Limited,Work from home,"₹ 4,00,000 - 6,00,000",1-4 years,"Few hours ago


Be an early applicant"
Paid Media Executive - Remote,IIDE Education Private Limited,Work from home,"₹ 5,00,000 - 6,00,000",1-4 years,"Few hours ago


Be an early applicant"
Content Strategist - Remote,IIDE Education Private Limited,Work from home,"₹ 3,00,000 - 5,00,000",1-4 years,"Few hours ago


Be an early applicant"
Associate Graphic Designer,IIDE Education Private Limited,Work from home,"₹ 3,00,000 - 5,00,000",1-3 years,Few hours ago
Junior Search Engine Optimization (SEO) Executive - Remote,IIDE Education Private Limited,Work from home,"₹ 3,00,000 - 6,00,000",0-3 years,Few hours ago
Remote Marketing Consultant,IIDE Education Private Limited,Work from home,"₹ 5,00,000 - 6,00,000",2-5 years,"Few hours ago


Be an early applicant"
Marketing Coordinator - Remote,IIDE Education Private Limited,Work from home,"₹ 3,00,000 - 5,00,000",1-3 years,"Few hours ago


Be an early applicant"
Content Marketing Specialist,IIDE Education Private Limited,Work from home,"₹ 4,00,000 - 5,00,000",1-5 years,"Few hours ago


Be an early applicant"
Video Editor - Remote,IIDE Education Private Limited,Work from home,"₹ 3,00,000 - 4,00,000",0-3 years,"Few hours ago


Be an early applicant"
Video Marketing Executive - Remote,IIDE Education Private Limited,Work from home,"₹ 5,00,000 - 7,00,000",2-5 years,"Few hours ago


Be an early applicant"
Business Development Associate,Nixio Tech,Work from home,"₹ 4,50,000 - 6,50,000",0-4 years,Few hours ago
E-commerce Marketing Specialist - Remote,IIDE Education Private Limited,Work from home,"₹ 4,00,000 - 6,00,000",0-5 years,"Few hours ago


Be an early applicant"
Copywriter - Remote,IIDE Education Private Limited,Work from home,"₹ 3,00,000 - 5,00,000",0-5 years,Few hours ago
Digital Marketing Executive,IIDE Education Private Limited,Work from home,"₹ 2,50,000 - 4,50,000",0-2 years,Few hours ago
Telesales Executive,NetPaisa,Noida,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
Instagram Marketing Specialist - Remote,IIDE Education Private Limited,Work from home,"₹ 3,00,000 - 4,50,000",0 years,Few hours ago
Social Media Executive - Remote,IIDE Education Private Limited,Work from home,"₹ 3,00,000 - 5,00,000",0-4 years,"Few hours ago


Be an early applicant"
Social Media Marketing Associate - Remote,IIDE Education Private Limited,Work from home,"₹ 3,00,000 - 5,00,000",0-5 years,"Few hours ago


Be an early applicant"
Marketing Executive - Remote,IIDE Education Private Limited,Work from home,"₹ 3,00,000 - 5,00,000",0-5 years,"Few hours ago


Be an early applicant"
Team Lead - Telecalling,MAG Finserv,Pune,"₹ 2,00,000 - 2,40,000",1-2 years,"Today


Be an early applicant"
Internal Auditor,MAG Finserv,Pune,"₹ 3,00,000 - 3,50,000",0-3 years,"Today


Be an early applicant"
HR Manager,MAG Finserv,Pune,"₹ 5,00,000 - 6,00,000",4-5 years,"Today


Be an early applicant"
Event Executive - Exhibition,Peppermint Communications Private Limited,"Thane, Bhiwandi, Kalyan, Ambernath, Dombivli, Karjat, Ulhasnagar","₹ 2,00,000 - 2,40,000",0-3 years,"2 days ago


Be an early applicant"
Event Management Executive,Breakout,Koramangala,"₹ 2,40,000 - 3,00,000",0-1 years,"3 days ago


Be an early applicant"
Marketing Executive,Right Health & Pharmaceuticals,Mumbai,"₹ 3,00,000 - 8,00,000",1-5 years,"1 day ago


Be an early applicant"
CUSTOMER RELATIONSHIP MANAGER SALES,Stareye Media & Entertainment Private Limited,Ahmedabad,"₹ 2,00,000 - 3,00,000",0-5 years,"2 days ago


Be an early applicant"
Digital Marketing Executive,Vritti Solution Limited,Coimbatore,"₹ 2,00,000 - 2,50,000",1-3 years,"3 days ago


Be an early applicant"
Digital Marketing Executive,Mobavenue Media Private Limited,Mumbai,"₹ 2,50,000 - 3,50,000",0-2 years,4 days ago
